"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2379","test_language_home_open[ru]","tests","Fri Jan 24 00:56:07 MSK 2025","passed","Fri Jan 24 00:56:09 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","388","test_get_resources[partners/]","tests","Fri Jan 24 00:56:53 MSK 2025","passed","Fri Jan 24 00:56:53 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","3486","test_open_home","tests","Fri Jan 24 00:55:56 MSK 2025","passed","Fri Jan 24 00:55:59 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","3880","test_activate_company","tests","Fri Jan 24 00:56:25 MSK 2025","passed","Fri Jan 24 00:56:29 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","3637","test_language_home_open[en]","tests","Fri Jan 24 00:56:13 MSK 2025","passed","Fri Jan 24 00:56:17 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","394","test_get_resources[consumer/]","tests","Fri Jan 24 00:56:49 MSK 2025","passed","Fri Jan 24 00:56:49 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","4088","test_language_company_open[ru]","tests","Fri Jan 24 00:55:41 MSK 2025","passed","Fri Jan 24 00:55:45 MSK 2025","TestTitleMenuX5","test_x5_company_page","",""
"","408","test_get_resources[about/]","tests","Fri Jan 24 00:56:45 MSK 2025","passed","Fri Jan 24 00:56:45 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","415","test_get_resources[press-center/]","tests","Fri Jan 24 00:57:14 MSK 2025","passed","Fri Jan 24 00:57:14 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","3348","test_language_company_open[en]","tests","Fri Jan 24 00:55:49 MSK 2025","passed","Fri Jan 24 00:55:52 MSK 2025","TestTitleMenuX5","test_x5_company_page","",""
"","467","test_stat_code_company_page","tests","Fri Jan 24 00:55:37 MSK 2025","passed","Fri Jan 24 00:55:37 MSK 2025","TestTitleMenuX5","test_x5_company_page","",""
"","437","test_get_resources[investors/1]","tests","Fri Jan 24 00:57:09 MSK 2025","passed","Fri Jan 24 00:57:09 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","369","test_get_resources[career/]","tests","Fri Jan 24 00:57:18 MSK 2025","passed","Fri Jan 24 00:57:18 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
"","462","test_stat_code_home_page","tests","Fri Jan 24 00:56:20 MSK 2025","passed","Fri Jan 24 00:56:21 MSK 2025","TestTitleMenuX5","test_x5_home_page","",""
